tweet,label
Rakyat dibatasi PPKM Level 3 Tapi orang dr Luar Negeri bebas masuk.. Nasib... Nasib...😆😆,0
"Heran gak bisa belajar dari yg udah udah Waktu awal omicron mulai ke-detect bandara msih buka, org org msih bolak balik luar negeri Sekarang malah PPKM lgi, level 3 Calon korban nya ya rakyat kecil",0
"Katanya jakarta PPKM level 3 tapi jalan raya masih rame di kantor-kantor gak ada WFH 75%, giliran natal ama tahun baru aja gak di naikin level",0
"Pak Presiden @jokowi, kami protes penerapan PPKM level 3, shrsnya yang diterapkan adalah sanksi denda U$ 1T per orang bagi pelaku pembawa virus dari yg libur nataru ke Luar negeri.  ingat keadilan sosial dong. Mereka senang banyak duit yang rugi rakyat yang tak berduit",0
"Selamat datang PPKM level 3.
Penerbangan internasional dibuka LEBAR-LEBAR.
Tadinya sudah membaik, malah dibuat mainan.
Menyalahkan lagi masyarakat karena tidak taat proses.
Padahal REGULASI dari luar ke tanah air tidak jelas.

Terimakasih 
#ppkmlevel3 #LuhutBiangKerok",0
"Hadeh , PPKM Level 3 Sedangkan Penerbangan Internasional Masih dibuka Lebar dan dikasih karpet. Gimana mau mencegah penyebarannya , Pemimpinnya aja masih melanggar Prokes dengan berkerumun.",0
"Bodoamat ya Pak/ Bu. Sengaja dinaekin apa gimana deh? Ga ngerti ini PPKM dan nawk level eh tapi ketentuan karantina jd cuma 3 hari. Awas aja jd konspirasi baru hmm mengcapek klo puasa - lebaran gaboleh kmana2 lg, kasian yg punya kampung. Tau ah saya cuma umbi2an cuma bisa komen",0
PPKM level 3 tapi penerbangan internasional dibuka 😀👌,0
udah siap baju buat poto trs ppkm level 3 hadeeebuzet,0
"ini ppkm level 3, kapan gw masuk sekolahnya ... masalahnya jg anak² di pjj-in tetep aja keluyuran, nongkrong, ga patuhin prokes :(",0
ppkm level 3 tapi pintu internasional tetep dibuka tuh buat apa deh serius?,0
"Ealah telat melulu
Waktu PPKM level 3 dibatalkan dalam rangka menghadapi NATARU kok tidak bersuara Yai? https://t.co/fOIfHcp4zP",0
"https://t.co/haTOae4vnx 

angan teori aja bossque - coba cek lapangan tempat2 nongki2 n drinking2, bebas merdekah !!! Merekalah sumber penyebaran ke rumah2 ",0
"Pasti jawabanya ..kita fokus aja di ppkm level 3. 
Tapi di pemerintahan @jokowi memang terlihat betapa lemahnya pengawasan khususnya kepentingan publik",0
Ini pemerintah ppkm level 3 kayaknya peraturannya masih longgr aja. Ga liat kasus yg 60rban? Mana hari ini naik tj,0
@pacarnyachiyoo IHH PENGEN PTM JUGAAAAA DOMISILI AKU LAGI PPKM LEVEL 3 IHH KESELLL,0
"Gegara ppkm level 3, berantakan semua acara",0
"Jogja ppkm level 3 ...hmmm oke..njut ngapa...ga brasa ngaruh org bis wisata juga msh byk, rame macet dmn2",0
"Baru aja usaha mulai rame :"") si kontil udh ppkm level 3 lagi aja. Baru 4 bulan usaha stabil dr awal korona bgst.",0
Lu mah enak udah rayain Natalan.. giliran umat Islam mo Ramadhan sm Lebaran lu umumin PPKM level 3. Giliran Ekonomi lesu krn efek PPKM lu nyuruh vaksin booster biar Pasar sm Mall rame.. Cuma jaman Jokowi kebijakan Negara bikin Rakyat menderita..,0
PPKM level 3 klo masih rame gimana bossss? Knapa ya pejabat kalo ngomong gak mikir dulu.,0
Ini pemerintah maunya apa sih udh ppkm level 3 tapi penerbangan internasional masih dibuka,0
"kebijakan kontradiktif dan kontraproduktif jika wisatawan asing boleh masuk, tapi pergerakan warga di dalam negri akan dilakukan penyekatan dg pemberlakuan PPKM level 3 ??",0
ini gedung trakindo pas ppkm level 3 gini kl harus ke kantor regulasinya dah kaya mau kemana aja anjir hebat,0
"@PRFMnews @luhut_binsar @jokowi @Kiyai_MarufAmin . Bapak bapak yang saya hormati ada masalah apa si sama ppkm,gerbang internasional dibuka gerbang dalam negri sampai ppkm level 3,saya sebagi supir yang lalu lalang Jabodetabek bingung dgn adanya ppkm ini,serasa kami dibodohkan sebuah sistem",0
"Apa sihh yg gak aneh Disini Bu😁 PPKM Level 3 Tapi Pintu Internasional Dibuka, PKS: Gak Sejalan",0
Oh kemarin udah sempat ppkm level 3 toh? Lah beneran ga ada bedanya sama level 0 😄😅,0
"@aniesbaswedan @PT_Transjakarta @PrasetyoEdi_ @dprddkijakarta tolong dengan sangat untuk pak gubernur, pak ketua DPRD dan pimpinan TJ untuk mengevaluasi kinerja bawahannya. PPKM level 3 tidak seharusnya menerapkan aturan yang sama, ketika tidak sedang kondisi PPKM. Terima kasih",0
"@DKIJakarta PPKM level 3 di Jakarta tdk ada pengaruhnya bagi PKL di Jl.Petak Baru dan sekitarnya juga di Pancoran Glodok bahkan didaerah itu diamankan oleh Oknum Satpoll PP jadi PKL tenang dlm berdagang, dan yg anehnya lg tdk jauh dari situ sering petugas gabungan bagi  masker hny tuk foto",0
"ppkm level 3  leval level leval level udh kek di video game bae... eh lupa kan negara ini negara video game ya  di permainkan oleh pemain gamenya sang raja yg berhak berkuasa .....rakyatnya kasih usulan di tolak, keadilannya dah ilang keknya",0
Oohhh… kab. Subang itu level 3 yaa.. tapi gak ada bedanya ah sama gak PPKM hahahaha.,0
"PPKM TETEP LEVEL 3, TAPI WFO DINAIKIN JADI 50% TUH PIYE ??? Apa beda nya sama level 2 ?? 😔🤔🤭",0
"PPKM Jabodetabek Naik Jadi Level 3! https://kanalnews.co/headline/ppkm-jabodetabek-naik-jadi-level-3/ lewat @Kanalnews1 @jokowi gimana nih pak, nasib rakyat baru ekonomi bangkit begini lagi, anak baru sekolah BDR lagi😭😭 kemarin orang boleh ke luar negeri jalan2 pulang bawa virus!",0
"Ooh BDG ppkm level 3 sekarang ? Kok di jalanan biasa aja, kek level sebelumnya..",0
Kok PPKM level 3 terus sampe kapan berenti levelnya,0
Dhejsjjsgsksslsjhdeudjzkdjdhdjsndjsks Ehhehehehsjakkahajskss KENAPA SEGALA ADA PPKM LEVEL 3 LAGI SIH DISITU,0
