tweet,label
@OH__DAISY ga boleh ketemu lg ppkm level 3 waspada kopit 🤣,1
"Udah beda kota, beda circle, kerjaan sama2 sibuk, mau ketemu eh PPKM level 3 lagi. Gajadi deh.",1
besok mau ke jojo food tp jkt ppkm level 3 huhu gajadi de,1
"Demi mencegah penularan virus omicron dan mengikuti aturan pemerintah untuk melaksanakan ppkm level 3, maaf kami ngga terima tamu 🙂🙏",1
@detikcom PPKM tetap level 3 tapi isi aturannya sama aja level 2. Ini pemerintah becanda melulu sih nanganin pandeminya 😓 @jokowi,1
"Hai, Kak. Perubahan dilakukan sejalan dengan pemberlakuan PPKM level 3 dan sebagai upaya mengurangi penyebaran Covid-19. Jadwal tersebut berlaku sampai batas yang belum ditentukan ya. Terima kasih atas perhatiannya.",1
"@trendingtopiq Mohon maaf paq, selama peningkatan level 3 PPKM untuk sementara kegiatan senam ditiadakan 👌🏾",1
"kemarin sempat offline beberapa matkul, minggu ini kayanya full online karena covid lagi merajalela di kampus dan pemberlakuan ppkm level 3",1
Wagelah sihhhhh kagak ada kapoknya ngadain acara gini.....Jakarta aja dan wilayah lain lg ppkm level 3 lagi ini bs bisa nya ngadain event gini lagi,1
"@collegemenfess Engga nderrr, masill full online. Di sini ppkm level 3, ngeri banget kalo ada offline",1
Duh mau ke surabaya tapi ppkm level 3 semua,1
@ochitAJ @xia0liangliang Kuy wkwkw nanti ya abis ppkm level 3 😍😍,1
@EastJavaAlter emang masih boleh dine in? ppkm level 3 gini 🤔,1
"@eg_nrs Yogya PPKM Level 3 Mak, turun 30% omset, Yogya lagi meledak agak takut juga tapi mau gimana lagi, yg penting pelayanan pake masker",1
Kamis semangat.... Mangga mampir ke bot na indihome di CCD Bandung... Untuk PSB... Kita PPKM level 3 lagi gaiss,1
@CharisFu Kemarin ada info level PPKM naik jadi level 3 terus anak-anak langsung PJJ lagi mas.,1
"[cm] wilayah kampus sender udah naik jadi ppkm level 3 tp tetap masih kuliah offline, padahal kampus lain di sekitar sini pada online :( takut banget",1
"halow ikomers, lunch break siang ini ada @raaadeeen and @buk4n4ku  yang bakal bahas aturan wisata saat PPKM level 3",1
"@wqccan OMG OMG NANTI REVIEW DONGG, aku blm bisa soalnya msih ppkm level 3 😢😢😢",1
ini kenapa si sekolah gw ga di pjj in aja? pdhal udh ppkm level 3 loh. dan di sekolah juga udh banyak yg sakit tapi ttp maksa ptm 100%??!!,1
@geloraco Kan PPKM level 3 kenapa ada keramaian,1
@hrdbacot Nih padahal ppkm level 3. Udah kaya ikan pepes dempet-dempett https://t.co/ij5HzO91qh,1
"Lah, kita kan emang PPKM, cuman levelnya rendah. Sekarang mau dinaikan ke level 3. Status PPKM nd pernah dicabut, cuman level nya yg turun",1
PPKM level 3 tapi bikin pesta kok sampai jam segini. Restaurant di daerah perumahan pula.,1
Cuman sthb yang omicron lagi naik dan ppkm level 3 tetap tatap muka👍🏻,1
Katanya PPKM level 3 tp malah bikin bazar murah dan pada rebutan minyak goreng terus bikin kerumunan😂,1
"Hallo fitizen!
Sehubungan dengan diberlakukannya PPKM Level 3 di wilayah Bandung Raya, maka ada beberapa perubahan mengenai alur pelayanan pemeriksaan kebugaran di BKOM Bandung.

Salam sehat, bugar dan produktif!💪🏼",1
"Balik lagi ke PPKM level 3.. yang bikin rame masyarakat sendiri, yang disalahin pemerintah",1
tapi masih rame aja njir pdhl ppkm level 3,1
Harus ke jkt akhir bulan ini tapi kok ppkm level 3.... Aku pro Vaksin.. Tapi aq gak suka suntik.. Hari Rabu jadwal Booster.. 😌,1
"@collegemenfess situasi kita kayaknya sama. kampus ngadain offline padahal ppkm, bedanya daerahku masih level 3. tapi untungnya ada scan pedulilindungi dan jaga jarak. terus kemarin juga udah diwanti2 sama pihak prodi buat ga nurunin masker",1
"Ini juga udah ppkm level 3 but masih aja diselenggarain offline. Kalau pratikum, mungkin bisa ditolerir lah ya, tapi ini teori lol 🤣",1
"disuruhnya prokes, jangan berkerumun dulu, ppkm juga lho level 3 kayaknya, tapi acara masih terus berjalan dan peserta banyak, aku enggk paham lagi udah.",1
Apaan udah ada edaran PPKM level 3 tapi masih tetap aja kyk hari biasa,1
@my_twitttter PPKM level 3 membatasi tamu udangan. Mohon dimaapkan Men. Sebelum puasa mudah2an kita bisa kumpul2. 😁,1
aneh bgt uprak suruh lepas masker padahal daerahku ppkm level 3 💀 luring 100% aja udah aneh…,1
"“Min Perwal berubah tapi status kita PPKM terus, bosen nih ☹️”

Eits sabar dulu ya wargi! Saat ini Kota Bandung masih menerapkan PPKM Level 3. https://t.co/68L8ZXphCt",1
Ya Allah... Ni orang orang tuh masih gak peka ya kalo kasus virus naik sama lagi zona ppkm level 3?,1
"PPKM dah resmi level 3, tp tj blm jaga jarak lagi :(( plis bgt terapin jaga jarak :((( even gua ga dpt tmpt duduk, gpp dr pada makin2 parah kan :)",1
[ PENYELENGGARAAN  PTM TERBATAS DI MASA PPKM LEVEL 3 ] Halo Gensoed ! Batir bawa informasi nih terkait penyelenggaraan PTM terbatas di masa PPKM level 3.  Nah Bagaimana sih penyelenggaraan PTM terbatas yang aman ?,1
"Masih pada suka ngemol atau nongkrong di cafe ga sih kalian??? Beberapa wilayah udah PPKM level 3 tau, jangan sampai dinaikin ya. Ttp patuhi prokes, dirumah aja oce?!",1
"@warningareya Udaahh, khusus kelas 12 sih. Disini kalo ga salah masih ppkm level 3, jadi terbatas juga yang masukk 🙆🏻",1
